CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male
596,32,3,96709.07,2,0,0,41788.37,0,1,0,0,1
623,43,1,0,2,1,1,146379.3,1,0,0,0,1
601,44,4,0,2,1,0,58561.31,0,0,1,1,0
506,59,8,119152.1,2,1,1,170679.74,0,1,0,0,1
560,27,7,124995.98,1,1,1,114669.79,0,0,1,1,0
790,37,8,0,2,1,1,149418.41,0,0,1,0,1
439,32,3,138901.61,1,1,0,75685.97,0,0,1,1,0
597,22,6,101528.61,1,1,0,70529,0,1,0,1,0
678,40,4,113794.22,1,1,0,16618.76,0,0,1,1,0
464,42,3,85679.25,1,1,1,164104.74,0,1,0,1,0
481,57,9,0,3,1,1,169719.35,1,0,0,1,0
651,56,4,0,1,0,0,84383.22,1,0,0,1,0
850,47,6,0,1,1,0,187391.02,1,0,0,0,1
687,41,2,154007.21,1,1,0,158408.23,0,1,0,1,0
696,19,1,110928.51,1,1,1,2766.63,1,0,0,0,1
612,36,5,119799.27,2,1,0,159416.58,0,0,1,1,0
586,57,3,0,2,0,1,6057.81,0,0,1,1,0
425,40,9,166776.6,2,0,1,172646.88,0,1,0,0,1
643,43,1,0,2,1,1,145764.4,0,0,1,0,1
641,37,2,0,2,1,0,3939.87,1,0,0,1,0
795,40,2,101891.1,1,1,1,183044.86,1,0,0,1,0
762,35,9,0,2,1,1,43075.7,1,0,0,0,1
687,44,9,0,2,0,0,103042.2,1,0,0,1,0
850,37,4,88141.1,1,1,0,109659.12,0,0,1,0,1
753,62,6,0,2,1,1,136398.9,1,0,0,1,0
678,49,3,204510.94,1,0,1,738.88,1,0,0,1,0
578,34,8,147487.23,2,1,0,66680.77,0,1,0,0,1
825,29,3,148874.01,2,0,1,71192.82,1,0,0,0,1
696,30,0,0,2,1,1,9002.8,0,0,1,1,0
457,40,10,134320.23,2,1,0,150757.35,1,0,0,0,1
680,30,8,141441.75,1,1,1,16278.97,1,0,0,1,0
819,38,10,0,2,1,0,30498.7,1,0,0,1,0
510,45,10,103821.47,2,0,1,77878.62,1,0,0,1,0
567,36,1,0,2,0,0,8555.73,1,0,0,0,1
638,34,5,146679.77,1,1,0,102179.86,0,0,1,0,1
579,56,4,99340.83,1,0,0,4523.74,0,0,1,0,1
715,37,9,105489.31,1,0,0,143096.49,0,1,0,1,0
587,34,1,0,2,1,1,97932.68,0,0,1,1,0
711,38,3,128718.78,1,0,0,114793.45,0,0,1,0,1
741,36,3,0,2,1,1,89804.83,1,0,0,1,0
688,38,7,148045.68,1,1,0,175479.92,1,0,0,0,1
475,45,0,134264.04,1,1,0,27822.99,1,0,0,1,0
567,36,7,0,2,0,1,3896.08,1,0,0,0,1
440,42,2,0,2,1,0,49826.68,1,0,0,0,1
741,42,6,106036.52,1,1,0,194686.78,1,0,0,0,1
582,41,6,70349.48,2,0,1,178074.04,0,1,0,0,1
613,26,4,100446.57,1,0,1,149653.81,1,0,0,0,1
692,43,2,69014.49,2,0,0,164621.43,0,1,0,1,0
521,38,5,110641.18,1,0,1,136507.69,1,0,0,0,1
759,35,7,147936.42,1,1,1,106785.7,0,0,1,1,0
715,42,2,88120.97,2,1,1,21333.22,0,1,0,0,1
711,39,3,152462.79,1,1,0,90305.97,1,0,0,1,0
554,44,6,92436.86,1,1,0,126033.9,1,0,0,1,0
651,35,8,110067.71,1,1,0,127678.95,0,1,0,0,1
495,45,3,89158.94,3,1,0,135169.76,0,0,1,1,0
805,39,2,0,1,0,0,166650.32,1,0,0,0,1
829,26,8,101440.36,2,1,1,19324.5,0,0,1,1,0
583,40,4,55776.39,2,1,0,26920.43,1,0,0,1,0
686,43,0,0,1,1,1,170072.9,1,0,0,1,0
505,40,6,47869.69,2,1,1,155061.97,0,1,0,0,1
528,30,2,128262.72,2,1,0,50771.16,1,0,0,0,1
677,34,4,0,2,1,1,6175.53,0,0,1,1,0
660,37,2,133200.09,1,0,0,71433.88,0,1,0,1,0
785,36,2,99806.85,1,0,1,36976.52,0,1,0,1,0
607,27,5,100912.19,1,0,0,7631.27,0,0,1,1,0
603,39,5,162390.52,2,1,0,54702.66,0,0,1,1,0
480,28,6,0,2,0,0,48131.92,1,0,0,1,0
656,68,7,153545.11,1,1,1,186574.68,0,1,0,0,1
631,48,1,106396.48,1,1,1,150661.42,0,1,0,0,1
604,35,7,147285.52,1,1,1,57807.05,0,0,1,1,0
622,32,5,179305.09,1,1,1,149043.78,1,0,0,0,1
601,42,9,133636.16,1,0,1,103315.74,0,1,0,1,0
674,46,2,174701.05,1,1,0,90189.72,1,0,0,0,1
531,31,3,0,1,1,1,42589.33,1,0,0,0,1
632,32,6,111589.33,1,1,1,170382.99,1,0,0,0,1
707,46,7,127476.73,2,1,1,146011.55,1,0,0,1,0
723,25,3,0,2,1,1,134509.47,1,0,0,0,1
795,38,7,125903.22,2,1,1,127068.92,0,1,0,0,1
585,45,0,0,2,0,0,189683.7,0,0,1,0,1
627,30,6,57809.32,1,1,0,188258.49,0,1,0,1,0
546,30,5,0,2,0,1,198543.09,1,0,0,1,0
571,66,9,111577.01,1,0,1,189271.9,0,1,0,1,0
684,42,1,117691,1,1,1,23135.65,0,1,0,0,1
636,45,7,139859.23,1,1,1,108402.54,1,0,0,1,0
562,48,3,92347.96,1,1,1,163116.75,1,0,0,0,1
482,48,2,69329.47,1,0,0,102640.52,0,1,0,1,0
786,62,8,0,1,1,1,165702.64,1,0,0,1,0
747,45,1,114959.12,1,1,0,189362.39,1,0,0,1,0
688,32,6,124179.3,1,1,1,138759.15,0,0,1,0,1
699,29,3,125689.29,1,1,1,151623.71,1,0,0,0,1
528,32,4,85615.66,2,1,0,156192.43,1,0,0,1,0
542,42,1,0,1,1,1,178256.58,1,0,0,1,0
773,50,4,0,2,1,0,129372.94,1,0,0,1,0
675,33,3,0,2,1,0,45348.08,0,0,1,0,1
652,51,7,0,2,0,1,43496.36,1,0,0,0,1
638,27,4,135096.05,1,1,1,186523.72,0,1,0,0,1
607,32,9,144272.07,2,1,0,176580.63,0,1,0,0,1
594,23,4,104753.84,2,1,0,56756.52,0,1,0,1,0
755,42,2,119919.12,1,1,0,156868.21,1,0,0,0,1
555,40,10,139930.18,1,1,1,105720.09,1,0,0,0,1
